Person,Total Gross,# Movies,Average,#1 Picture,Gross
Grant Heslov,$471.70 ,10,$47.20 ,Argo,$136.00 
David Heyman,"$2,896.00 ",16,$181.00 ,Harry Potter / Deathly Hallows (P2),$381.00 
Kerry Heysen,$81.70 ,3,$27.20 ,No Reservations,$43.10 
Jonah Hill,$458.30 ,4,$114.60 ,22 Jump Street,$191.70 
Walter Hill,$362.00 ,10,$36.20 ,Alien,$80.90 
John Hillcoat,$54.70 ,1,$54.70 ,Project X,$54.70 
David Hoberman,"$1,823.80 ",27,$67.50 ,Beauty and the Beast,$504.00 
Dustin Hoffman,$18.40 ,1,$18.40 ,Quartet,$18.40 
Philip Seymour Hoffman,$29.30 ,2,$14.60 ,Capote,$28.80 
Jason Hoffs,$178.10 ,2,$89.00 ,Edge of Tomorrow,$100.20 
Elisabeth Holm,$3.10 ,2,$1.60 ,Obvious Child,$3.10 
Ted Hope,$165.30 ,36,$4.60 ,In the Bedroom,$35.90 
Nick Hornby,$96.00 ,3,$32.00 ,Fever Pitch,$42.10 
Whitney Houston,$227.80 ,3,$75.90 ,Princess Diaries,$108.20 
Ron Howard,"$1,495.60 ",29,$51.60 ,The Grinch,$260.00 
Terrence Howard,$7.10 ,1,$7.10 ,Pride,$7.10 
Charlotte Huggins,$219.40 ,3,$73.10 ,Journey 2,$103.90 
Albert Hughes,$56.30 ,4,$14.10 ,From Hell,$31.60 
Allen Hughes,$76.00 ,5,$15.20 ,From Hell,$31.60 
John Hughes,"$1,296.40 ",22,$58.90 ,Home Alone,$285.80 
Patrick Hughes,$21.1k,1,$21.1k,Red Hill,$21.1k
Elizabeth Hunter,$37.30 ,1,$37.30 ,Jumping the Broom,$37.30 
Gale Anne Hurd,"$1,383.20 ",27,$51.20 ,Terminator 2,$205.90 
Jon Hurwitz,$56.20 ,1,$56.20 ,Blockers,$56.20 
Mario Iscovich,$534.30 ,6,$89.00 ,Runaway Bride,$152.30 
Hugh Jackman,$312.40 ,2,$156.20 ,X-Men Origins: Wolverine,$179.90 
Matt Jackson,$133.90 ,7,$19.10 ,Snitch,$42.90 
Peter Jackson,"$2,283.90 ",13,$175.70 ,Return of the King,$377.80 
Gregory Jacobs,$579.20 ,15,$38.60 ,Ocean's Thirteen,$117.20 
John Jacobs,$702.10 ,8,$87.80 ,Ted,$218.80 
Nina Jacobson,"$1,370.10 ",8,$171.30 ,Catching Fire,$424.70 
Rick Jaffa,$385.30 ,2,$192.70 ,Dawn of the Planet of the Apes,$208.50 
Toby Jaffe,$221.40 ,6,$36.90 ,Blue Streak,$68.50 
T.D. Jakes,$233.60 ,7,$33.40 ,Heaven is for Real,$91.40 
E.L. James,$381.20 ,3,$127.10 ,Fifty Shades of Grey,$166.20 
Kevin James,$116.30 ,2,$58.20 ,Paul Blart: Mall Cop 2,$71.00 
Famke Janssen,$5.0k,1,$5.0k,Bringing Up Bobby,$5.0k
Andrew Jarecki,$6.40 ,2,$3.20 ,Catfish,$3.20 
Nicholas Jarecki,$1.20 ,2,$594k,Tyson,$888k
Jim Jarmusch,$5.40 ,3,$1.80 ,Ghost Dog,$3.30 
Jon Jashni,"$3,111.80 ",31,$100.40 ,Jurassic World,$652.30 
Polly Johnsen,$172.20 ,4,$43.00 ,Wrath of the Titans,$83.70 
Bill Johnson,$306.70 ,7,$43.80 ,"I Love You, Man",$71.40 
Broderick Johnson,"$1,179.00 ",25,$47.20 ,The Blind Side,$256.00 
Dwayne Johnson,$42.90 ,1,$42.90 ,Snitch,$42.90 
Jake Johnson,$119k,1,$119k,Digging for Fire,$119k
Mark Johnson,"$1,605.00 ",32,$50.20 ,The Chronicles of Narnia,$291.70 
Mark Steven Johnson,$51.80 ,1,$51.80 ,Ghost Rider 2,$51.80 
Tim Johnson,$217.60 ,1,$217.60 ,How to Train Your Dragon,$217.60 
Joe Johnston,$176.70 ,1,$176.70 ,Captain America,$176.70 
Angelina Jolie,$357.60 ,3,$119.20 ,Maleficent,$241.40 
Stephen Jones,$636.50 ,7,$90.90 ,Gravity,$274.10 
Spike Jonze,$384.90 ,6,$64.20 ,Jackass 3-D,$117.20 
Henry Joost,$3.20 ,1,$3.20 ,Catfish,$3.20 
Laeta Kalogridis,"$1,051.40 ",4,$262.80 ,Avatar,$760.50 
Wong Kar Wai,$12.30 ,7,$1.80 ,The Grandmaster,$6.60 
Jake Kasdan,$27.90 ,4,$7.00 ,Walk Hard...,$18.30 
Lawrence Kasdan,$368.30 ,13,$28.30 ,Bodyguard,$122.00 
Ross Katz,$98.60 ,4,$24.60 ,Lost in Translation,$44.60 
Jeffrey Katzenberg,"$1,228.60 ",8,$153.60 ,Shrek 2,$441.20 
Ryan Kavanaugh,"$2,841.60 ",63,$45.10 ,Little Fockers,$148.40 
Brian Kavanaugh-Jones,$303.80 ,11,$27.60 ,Insidious Chapter 2,$83.60 
James Keach,$151.50 ,6,$25.30 ,Walk the Line,$119.50 
Diane Keaton,$4.70 ,2,$2.40 ,The Lemon Sisters,$3.50 
Tim Kelleher,$26.50 ,1,$26.50 ,First Kid,$26.50 
Jason Keller,$67.30 ,1,$67.30 ,A Good Day to Die Hard,$67.30 
Alex Kendrick,$43.60 ,2,$21.80 ,Fireproof,$33.50 
Stephen Kendrick,$78.20 ,3,$26.10 ,Courageous,$34.50 
Kathleen Kennedy,"$7,526.80 ",60,$125.40 ,Star Wars: The Force Awakens,$936.70 
Jordan Kerner,"$1,047.40 ",19,$55.10 ,The Smurfs,$142.60 
Nicole Kidman,$30.20 ,3,$10.10 ,Monte Carlo,$23.20 
Jon Kilik,"$1,213.70 ",29,$41.90 ,The Hunger Games,$408.00 
Sidney Kimmel,$392.10 ,28,$14.00 ,The Lincoln Lawyer,$58.00 
Simon Kinberg,"$2,061.50 ",14,$147.30 ,Deadpool,$363.10 
Graham King,"$1,282.60 ",22,$58.30 ,Argo,$136.00 
Michael Patrick King,$248.00 ,2,$124.00 ,Sex and the City,$152.60 
Howard Klausner,$5.30 ,2,$2.60 ,The Identical,$2.80 
David Klawans,$216.20 ,2,$108.10 ,Argo,$136.00 
Jeremy Kleiner,$523.70 ,9,$58.20 ,World War Z,$202.40 
Harald Kloser,$437.10 ,4,$109.30 ,2012,$166.10 
Travis Knight,$106.80 ,2,$53.40 ,ParaNorman,$56.00 
Johnny Knoxville,$102.00 ,1,$102.00 ,Bad Grandpa,$102.00 
Cathy Konrad,$692.50 ,16,$43.30 ,Walk the Line,$119.50 
Anne Kopelson,$594.10 ,11,$54.00 ,Eraser,$101.30 
Arnold Kopelson,"$1,147.30 ",21,$54.60 ,The Fugitive,$183.90 
Brian Koppelman,$70.90 ,4,$17.70 ,The Illusionist,$39.90 
Nikolas Korda,$333.20 ,1,$333.20 ,Guardians of the Galaxy,$333.20 
Steve Koren,$737.80 ,6,$123.00 ,Bruce Almighty,$242.80 
Baltasar Kormakur,$66.50 ,1,$66.50 ,Contraband,$66.50 
Joseph Kosinski,$89.10 ,1,$89.10 ,Oblivion,$89.10 
Andrew A. Kosove,"$1,179.00 ",25,$47.20 ,The Blind Side,$256.00 
Scott Kroopf,$921.10 ,27,$34.10 ,Runaway Bride,$152.30 
Ehren Kruger,$63.00 ,3,$21.00 ,Scream 4,$38.20 
Robert Kulzer,$280.90 ,10,$28.10 ,Resident Evil: Afterlife,$60.10 
Alex Kurtzman,$689.60 ,6,$114.90 ,Star Trek Into Darkness,$228.80 
Casey La Scalla,$57.20 ,3,$19.10 ,A Cinderella Story,$51.40 
Richard LaGravenese,$11.60 ,3,$3.90 ,The Ref,$11.40 
Jon Landau,"$1,670.30 ",6,$278.40 ,Avatar,$760.50 
Peter Landesman,$2.50 ,1,$2.50 ,Kill the Messenger,$2.50 
John Landis,$58.70 ,4,$14.70 ,Twilight Zone: The Movie,$29.50 
Sherry Lansing,$362.50 ,6,$60.40 ,Fatal Attraction,$156.60 
Tom Lassally,$120.20 ,6,$20.00 ,Edge of Tomorrow,$100.20 
John Lasseter,"$3,978.70 ",21,$189.50 ,Toy Story 3,$415.00 
James Lassiter,"$1,431.40 ",13,$110.10 ,I Am Legend,$256.40 
Queen Latifah,$479k,1,$479k,Brotherly Love,$479k
Laura Lau,$43.40 ,2,$21.70 ,Open Water,$30.60 
Andrew Lazar,$865.80 ,18,$48.10 ,American Sniper,$350.10 
Graham Leader,$35.90 ,1,$35.90 ,In the Bedroom,$35.90 
Ang Lee,$125.00 ,1,$125.00 ,Life of Pi,$125.00 
Benson Lee,$274k,1,$274k,Planet B-Boy,$274k
Malcolm D. Lee,$70.50 ,1,$70.50 ,The Best Man Holiday,$70.50 
Roy Lee,"$1,306.30 ",22,$59.40 ,The LEGO Movie,$257.80 
Spike Lee,$3.00 ,2,$1.50 ,Chi-Raq,$2.70 
Stan Lee,"$6,907.30 ",34,$203.20 ,The Avengers,$623.40 
Dennis Lehane,$128.00 ,1,$128.00 ,Shutter Island,$128.00 
David Leitch,$43.00 ,1,$43.00 ,John Wick,$43.00 
Tea Leoni,$2.40 ,1,$2.40 ,You Kill Me,$2.40 
Louis Leterrier,$83.70 ,1,$83.70 ,Wrath of the Titans,$83.70 
Gregory Levasseur,$59.70 ,3,$19.90 ,Mirrors,$30.70 
David Levien,$51.60 ,3,$17.20 ,The Illusionist,$39.90 
Lloyd Levin,$991.30 ,19,$52.20 ,Tomb Raider,$131.20 
Barry Levinson,$429.80 ,15,$28.70 ,Disclosure,$83.00 
Stephen Levinson,$370.30 ,7,$52.90 ,Lone Survivor,$125.10 
Shawn Levy,$380.50 ,6,$63.40 ,Night at the Museum: Secret of the Tomb,$113.70 
Brad Lewis,$369.90 ,3,$123.30 ,Ratatouille,$206.40 
Rodney M. Liber,$210.60 ,5,$42.10 ,Big Momma's House,$117.60 
Doug Liman,$535.50 ,5,$107.10 ,The Bourne Ultimatum,$227.50 
Dan Lin,$879.40 ,8,$109.90 ,The LEGO Movie,$257.80 
Todd Lincoln,$4.90 ,1,$4.90 ,The Apparition,$4.90 
Damon Lindelof,$806.70 ,5,$161.30 ,Star Trek,$257.70 
Richard Linklater,$36.90 ,3,$12.30 ,Boyhood,$25.40 
Steven Lisberger,$172.10 ,1,$172.10 ,Tron Legacy,$172.10 
Allan Loeb,$31.10 ,2,$15.50 ,The Switch,$27.80 
John Logan,$110.50 ,3,$36.80 ,Time Machine,$56.80 
Michael London,$230.10 ,7,$32.90 ,Sideways,$71.50 
Jennifer Lopez,$48.90 ,3,$16.30 ,The Boy Next Door,$35.40 
Peter Lord,$305.10 ,5,$61.00 ,Chicken Run,$106.80 
Phil Lord,$191.70 ,1,$191.70 ,22 Jump Street,$191.70 
Robert Lorenz,$988.60 ,14,$70.60 ,American Sniper,$350.10 
Hunt Lowry,$636.40 ,20,$31.80 ,A Time to Kill,$108.80 
George Lucas,"$3,407.30 ",22,$154.90 ,The Phantom Menace,$474.50 
Jon Lucas,$25.70 ,1,$25.70 ,21 and Over,$25.70 
Gary Lucchesi,"$1,253.40 ",46,$27.20 ,Runaway Bride,$152.30 
Baz Luhrmann,$153.30 ,3,$51.10 ,Moulin Rouge!,$57.40 
Daniel Lupi,$780.30 ,13,$60.00 ,Lincoln,$182.20 
Patrick Lussier,$89.80 ,1,$89.80 ,Terminator: Genisys,$89.80 
David Lynch,$1.30 ,2,$652k,Inland Empire,$861k
Gail Lyon,$295.50 ,6,$49.30 ,Erin Brockovich,$125.60 
Seth MacFarlane,$343.40 ,3,$114.50 ,Ted,$218.80 
Trevor Macy,$291.00 ,10,$29.10 ,Safe House,$126.40 
Tobey Maguire,$38.60 ,2,$19.30 ,Rock of Ages,$38.50 
David Maisel,"$1,123.30 ",5,$224.70 ,Iron Man,$318.40 
John Malkovich,$34.10 ,2,$17.00 ,The Perks of Being a Wallflower,$17.70 
Sonny Mallhi,$168.20 ,4,$42.00 ,The Strangers,$52.60 
David Mandel,$77.40 ,2,$38.70 ,The Dictator,$59.70 
Michael Mann,$569.60 ,12,$47.50 ,The Aviator,$102.60 
Jackie Marcus,$98.00 ,2,$49.00 ,Disturbia,$80.20 
Laurence Mark,"$1,054.70 ",28,$37.70 ,Jerry Maguire,$154.00 
Brit Marling,$4.00 ,3,$1.30 ,The East,$2.30 
Frank Marshall,"$5,435.70 ",58,$93.70 ,Jurassic World,$652.30 
Penny Marshall,$311.70 ,7,$44.50 ,League of Their Own,$107.50 
Rob Marshall,$128.00 ,1,$128.00 ,Into the Woods,$128.00 
Lee R. Mayes,$539.30 ,10,$53.90 ,Scary Movie,$157.00 
Craig Mazin,$164.30 ,4,$41.10 ,Scary Movie 4,$90.70 
Danny McBride,$39.30 ,3,$13.10 ,Your Highness,$21.60 
Rick McCallum,"$1,228.30 ",9,$136.50 ,The Phantom Menace,$474.50 
Anthony McCarten,$35.90 ,2,$17.90 ,The Theory of Everything,$35.90 
Melissa McCarthy,$147.80 ,2,$73.90 ,Tammy,$84.50 
Kevin McCormick,$338.00 ,9,$37.60 ,Saturday Night Fever,$94.20 
Mike McCoy,$70.00 ,1,$70.00 ,Act of Valor,$70.00 
Joey McFarland,$372.20 ,6,$62.00 ,Daddy's Home,$150.40 
McG,$77.60 ,2,$38.80 ,We Are Marshall,$43.50 
Tom McGrath,$83.40 ,1,$83.40 ,Penguins of Madagascar,$83.40 
Adam McKay,"$1,097.60 ",14,$78.40 ,Daddy's Home,$150.40 
Sean McNamara,$54.30 ,2,$27.10 ,Soul Surfer,$43.90 
Christopher McQuarrie,$83.10 ,1,$83.10 ,Valkyrie,$83.10 
Steve McQueen (II),$56.70 ,1,$56.70 ,12 Years a Slave,$56.70 
Joe Medjuck,"$1,326.40 ",27,$49.10 ,Ghostbusters II,$112.50 
Scott Mednick,$977.50 ,10,$97.80 ,300,$210.60 
Christopher Meledandri,"$2,985.70 ",17,$175.60 ,The Secret Life of Pets,$368.40 
Theodore Melfi,$44.10 ,1,$44.10 ,St. Vincent,$44.10 
Barry Mendel,"$1,074.10 ",15,$71.60 ,Sixth Sense,$293.50 
Sam Mercer,"$1,520.20 ",15,$101.30 ,Sixth Sense,$293.50 
Neil Meron,$464.90 ,6,$77.50 ,Chicago,$170.70 
Stephenie Meyer,$602.40 ,4,$150.60 ,Breaking Dawn Part 2,$292.30 
Nancy Meyers,$776.80 ,9,$86.30 ,What Women Want,$182.80 
Lorne Michaels,$636.80 ,22,$28.90 ,Wayne's World,$121.70 
Arnon Milchan,"$4,977.20 ",118,$42.20 ,Alvin and the Chipmunks 2,$219.60 
Mark Millar,$76.90 ,2,$38.40 ,Kick-Ass,$48.10 
Frank Miller,$120.30 ,2,$60.20 ,300: Rise of An Empire,$106.60 
George Miller,$552.00 ,10,$55.20 ,Happy Feet,$198.00 
Chris Miller (II),$191.70 ,1,$191.70 ,22 Jump Street,$191.70 
Anthony Minghella,$146.40 ,8,$18.30 ,The Interpreter,$72.70 
Dan Mintz,$498.50 ,3,$166.20 ,Iron Man 3,$409.00 
Kevin Misher,$464.60 ,10,$46.50 ,Public Enemies,$97.10 
John Cameron Mitchell,$2.60 ,2,$1.30 ,Shortbus,$2.00 
Hayao Miyazaki,$19.20 ,1,$19.20 ,The Secret World of Arrietty,$19.20 
Gerald R. Molen,"$1,693.00 ",18,$94.10 ,Jurassic Park,$402.50 
Graham Moloy,$64.30 ,1,$64.30 ,The Nut Job,$64.30 
Michelle Monaghan,$52.4k,1,$52.4k,Trucker,$52.4k
William Monahan,$16.1k,1,$16.1k,London Boulevard,$16.1k
Alejandro Monteverde,$8.10 ,1,$8.10 ,Bella,$8.10 
Chris Moore,$672.20 ,14,$48.00 ,American Pie 2,$145.10 
Graham Moore,$91.10 ,1,$91.10 ,The Imitation Game,$91.10 
Jason Moore,$184.30 ,1,$184.30 ,Pitch Perfect 2,$184.30 
Scott Moore,$25.70 ,1,$25.70 ,21 and Over,$25.70 
Tim Moore,$798.20 ,11,$72.60 ,American Sniper,$350.10 
Peter Morgan,$76.00 ,4,$19.00 ,Hereafter,$32.70 
Neal H. Moritz,"$3,977.00 ",48,$82.90 ,Furious 7,$353.00 
Kevin Munroe,$1.20 ,1,$1.20 ,Dylan Dog: Dead of Night,$1.20 
Michelle Murdocca,$403.10 ,3,$134.40 ,Hotel Transylvania 2,$169.70 
Don Murphy,"$1,733.60 ",16,$108.40 ,Transformers 2,$402.10 
Ryan Murphy,$7.00 ,1,$7.00 ,Running with Scissors,$7.00 
Barbara Muschietti,$71.60 ,1,$71.60 ,Mama,$71.60 
Justin Nappi,$40.70 ,5,$8.10 ,That Awkward Moment,$26.10 
Andre Nemec,$22.30 ,1,$22.30 ,Project Almanac,$22.30 
Scott Neustadter,$38.90 ,2,$19.40 ,Paper Towns,$32.00 
Mark Neveldine,$20.60 ,2,$10.30 ,Gamer,$20.50 
Eric Newman,$305.80 ,11,$27.80 ,Dawn of the Dead,$59.00 
Andrew Niccol,$37.50 ,1,$37.50 ,In Time,$37.50 
Jeff Nichols,$46.0k,1,$46.0k,Shotgun Stories,$46.0k
Mike Nichols,$377.00 ,11,$34.30 ,Birdcage,$124.10 
Scott Niemeyer,$362.20 ,12,$30.20 ,Pitch Perfect,$65.00 
Marcus Nispel,$10.20 ,1,$10.20 ,Pathfinder,$10.20 
Christopher Nolan,"$2,020.90 ",9,$224.50 ,The Dark Knight,$534.90 
Denise Nolan Cascino,$259.90 ,2,$130.00 ,Megamind,$148.40 
George Nolfi,$98.80 ,2,$49.40 ,The Adjustment Bureau,$62.50 
Edward Norton,$1.10 ,1,$1.10 ,Thanks for Sharing,$1.10 
Mason Novick,$300.90 ,7,$43.00 ,Juno,$143.50 
T.S. Nowlin,$3.60 ,1,$3.60 ,Phoenix Forgotten,$3.60 
Gianni Nunnari,$831.90 ,11,$75.60 ,300,$210.60 
Lonzo Nzekwe,$15.8k,1,$15.8k,Anchor Baby,$15.8k
Brendan O'Brien,$205.60 ,2,$102.80 ,Neighbors,$150.20 
Andrew O'Connor,$26.10 ,1,$26.10 ,That Awkward Moment,$26.10 
Gavin O'Connor,$1.40 ,2,$682k,Tumbleweeds,$1.40 
Mark O'Keefe,$380.20 ,2,$190.10 ,Bruce Almighty,$242.80 
Lynda Obst,$825.10 ,15,$55.00 ,Interstellar,$188.00 
Mary-Kate Olsen,$14.10 ,1,$14.10 ,New York Minute,$14.10 
Roberto Orci,$933.80 ,8,$116.70 ,Star Trek Into Darkness,$228.80 
John Orloff,$4.50 ,1,$4.50 ,Anonymous,$4.50 
Kenny Ortega,$90.60 ,1,$90.60 ,High School Musical 3,$90.60 
Ido Ostrowsky,$91.10 ,1,$91.10 ,The Imitation Game,$91.10 
Will Packer,"$1,130.30 ",18,$62.80 ,Straight Outta Compton,$161.20 
Jose Padilha,$326k,3,$109k,Bus 174,$217k
Andrew Panay,$406.90 ,10,$40.70 ,Wedding Crashers,$209.30 
Bruna Papandrea,$348.60 ,9,$38.70 ,Gone Girl,$167.80 
Mary Parent,$982.70 ,13,$75.60 ,Godzilla,$200.70 
Hutch Parker,$801.50 ,6,$133.60 ,X-Men: Days of Future Past,$233.90 
Heather Parry,$456.00 ,6,$76.00 ,The Longest Yard,$158.10 
Palak Patel,$390.20 ,2,$195.10 ,Oz The Great and Powerful,$234.90 
Steven Paul,$203.80 ,8,$25.50 ,Ghost Rider,$115.80 
Alexander Payne,$97.10 ,6,$16.20 ,The Descendants,$82.60 
Jordan Peele,$176.00 ,1,$176.00 ,Get Out,$176.00 
Kimberly Peirce,$10.90 ,1,$10.90 ,Stop-Loss,$10.90 
Oren Peli,$676.70 ,12,$56.40 ,Paranormal Activity,$107.90 
Sean Penn,$10.70 ,1,$10.70 ,The Gunman,$10.70 
Alex Ross Perry,$19.0k,1,$19.0k,The Color Wheel,$19.0k
Tyler Perry,$719.50 ,15,$48.00 ,Madea Goes to Jail,$90.50 
Matthew Peterman,$76.30 ,2,$38.20 ,The Devil Inside,$53.30 
Jon Peters,"$1,759.50 ",35,$50.30 ,Batman,$251.20 
Todd Phillips,$900.30 ,9,$100.00 ,The Hangover,$277.30 
Steve Pink,$76.40 ,1,$76.40 ,Knight & Day,$76.40 
Jada Pinkett-Smith,$146.40 ,2,$73.20 ,Annie (2014),$85.90 
Brad Pitt,$960.70 ,23,$41.80 ,World War Z,$202.40 
Marc Platt,"$1,108.10 ",21,$52.80 ,La La Land,$151.10 
John Pogue,$179.60 ,2,$89.80 ,Fast and the Furious,$144.50 
Roman Polanski,$70.70 ,5,$14.10 ,The Pianist,$32.60 
Sydney Pollack,"$1,202.20 ",36,$33.40 ,Tootsie,$177.20 
Tom Pollock,$579.30 ,13,$44.60 ,Up in the Air,$83.80 
Gavin Polone,$420.40 ,14,$30.00 ,Panic Room,$96.40 
Jay Polstein,$84.50 ,3,$28.20 ,Underdog,$43.80 
Marisa Polvino,$23.50 ,3,$7.80 ,Transcendence,$23.00 
James Ponsoldt,$31.8k,1,$31.8k,Amira & Sam,$31.8k
Natalie Portman,$83.50 ,5,$16.70 ,No Strings Attached,$70.70 
Gina Prince-Bythewood,$22.10 ,1,$22.10 ,Biker Boyz,$22.10 
Gigi Pritzker,$244.40 ,13,$18.80 ,Ender's Game,$61.70 
Alex Proyas,$31.20 ,1,$31.20 ,Gods of Egypt,$31.20 
Kori Rae,$268.50 ,1,$268.50 ,Monsters University,$268.50 
Sam Raimi,$591.10 ,12,$49.30 ,The Grudge,$110.40 
Steven M. Rales,$186.30 ,12,$15.50 ,The Grand Budapest Hotel,$59.30 
Lynne Ramsay,$1.70 ,1,$1.70 ,We Need to Talk About Kevin,$1.70 
Brett Ratner,$383.90 ,8,$48.00 ,Horrible Bosses,$117.50 
Robert Redford,$5.10 ,1,$5.10 ,The Company You Keep,$5.10 
Rhett Reese,$75.60 ,1,$75.60 ,Zombieland,$75.60 
Keanu Reeves,$43.20 ,3,$14.40 ,John Wick,$43.00 
Rob Reiner,$15.20 ,1,$15.20 ,And So It Goes,$15.20 
Will Reiser,$35.00 ,1,$35.00 ,50/50,$35.00 
Ivan Reitman,"$1,941.00 ",31,$62.60 ,Ghostbusters,$242.20 
Jason Reitman,$150.90 ,8,$18.90 ,Up in the Air,$83.80 
Chris Renaud,$336.00 ,1,$336.00 ,Minions,$336.00 
Jeremy Renner,$12.80 ,1,$12.80 ,The Founder,$12.80 
Ryan Reynolds,$363.10 ,1,$363.10 ,Deadpool,$363.10 
John Ridley,$102.80 ,4,$25.70 ,12 Years a Slave,$56.70 
Guy Ritchie,$39.20 ,1,$39.20 ,King Arthur,$39.20 
Jonas Rivera,$649.50 ,2,$324.70 ,Inside Out,$356.50 
Jay Roach,$174.00 ,2,$87.00 ,Sisters,$87.00 
Brian Robbins,$630.10 ,12,$52.50 ,Wild Hogs,$168.30 
Julia Roberts,$108.80 ,3,$36.30 ,Stepmom,$91.10 
Shauna Robertson,$640.10 ,6,$106.70 ,Elf,$173.40 
Gillian Robespierre,$3.10 ,1,$3.10 ,Obvious Child,$3.10 
James G. Robinson,$658.00 ,30,$21.90 ,When Nature Calls,$108.40 
Robert Rodriguez,$604.80 ,14,$43.20 ,Spy Kids,$112.70 
Seth Rogen,"$1,142.00 ",13,$87.80 ,Neighbors,$150.20 
Brian Rogers,$200.70 ,1,$200.70 ,Godzilla,$200.70 
Mark Romanek,$2.40 ,1,$2.40 ,Never Let Me Go,$2.40 
Andrew Rona,$171.50 ,4,$42.90 ,Non-Stop,$92.20 
Don Roos,$25.50 ,3,$8.50 ,Boys on the Side,$23.40 
Scott Mitchell Rosenberg,$101.40 ,2,$50.70 ,Cowboys & Aliens,$100.20 
Tom Rosenberg,"$1,299.60 ",57,$22.80 ,Runaway Bride,$152.30 
Karen Rosenfelt,"$2,333.20 ",13,$179.50 ,The Twilight Saga: Eclipse,$300.50 
Terry Rossio,$394.40 ,3,$131.50 ,Pirates of the Caribbean 4,$241.10 
Eli Roth,$71.90 ,4,$18.00 ,The Last Exorcism,$41.00 
Joe Roth,"$2,448.80 ",49,$50.00 ,Alice in Wonderland,$334.20 
Rodney Rothman,$206.00 ,5,$41.20 ,Forgetting Sarah Marshall,$63.20 
Charles Roven,"$2,873.30 ",24,$119.70 ,The Dark Knight Rises,$448.10 
Mark Roybal,$231.30 ,7,$33.00 ,No Country for Old Men,$74.30 
Richard P. Rubinstein,$174.30 ,7,$24.90 ,Dawn of the Dead,$59.00 
Paul Rudd,$17.50 ,1,$17.50 ,Wanderlust,$17.50 
Scott Rudin,"$4,072.00 ",88,$46.30 ,True Grit,$171.20 
Geoffrey Rush,$138.80 ,1,$138.80 ,The King's Speech,$138.80 
David O. Russell,$99.40 ,4,$24.90 ,Anchorman,$85.30 
Aaron Ryder,$282.80 ,15,$18.90 ,The Mexican,$66.80 
Peter Safran,$629.70 ,17,$37.00 ,Scary Movie,$157.00 
Richard Sakai,$573.40 ,7,$81.90 ,The Simpsons Movie,$183.10 
Shane Salerno,$584k,1,$584k,Salinger,$584k
Andy Samberg,$9.60 ,1,$9.60 ,Popstar,$9.60 
Chris Sanders,$177.00 ,1,$177.00 ,How to Train Your Dragon 2,$177.00 
Adam Sandler,"$2,840.10 ",34,$83.50 ,Hotel Transylvania 2,$169.70 
Arthur M. Sarkissian,$615.40 ,7,$87.90 ,Rush Hour 2,$226.20 
Steven Saxton,$221.70 ,7,$31.70 ,Lone Survivor,$125.10 
Akiva Schaffer,$18.20 ,2,$9.10 ,Popstar,$9.60 
Jeff Schaffer,$59.70 ,1,$59.70 ,The Dictator,$59.70 
Peter Schlessel,$700.50 ,17,$41.20 ,Fifty Shades of Grey,$166.20 
Hayden Schlossberg,$56.20 ,1,$56.20 ,Blockers,$56.20 
Ron Schmidt,$170.50 ,8,$21.30 ,Letters to Juliet,$53.00 
Joseph Schneider,$15.0k,1,$15.0k,I'm Not Jesus Mommy,$15.0k
Steven Schneider,$553.90 ,9,$61.50 ,Paranormal Activity,$107.90 
Ariel Schulman,$3.20 ,1,$3.20 ,Catfish,$3.20 
Cathy Schulman,$112.70 ,6,$18.80 ,Crash,$54.60 
John Schultz,$44.5k,1,$44.5k,Bandwagon,$44.5k
Paul Schwake,"$1,163.70 ",11,$105.80 ,Star Trek Into Darkness,$228.80 
Alex Schwartz,$217.80 ,3,$72.60 ,Mr. Peabody & Sherman,$111.50 
Josh Schwartz,$32.80 ,2,$16.40 ,Endless Love,$23.40 
Teddy Schwarzman,$117.60 ,5,$23.50 ,The Imitation Game,$91.10 
David Schwimmer,$4.20 ,2,$2.10 ,Kissing a Fool,$4.10 
Martin Scorsese,$548.80 ,17,$32.30 ,The Departed,$132.40 
Adam Scott,$1.10 ,1,$1.10 ,The Overnight,$1.10 
Ridley Scott,"$1,574.10 ",37,$42.50 ,The Martian,$228.40 
Tony Scott,$568.60 ,17,$33.40 ,Prometheus,$126.50 
Peter Segal,$29.80 ,1,$29.80 ,Grudge Match,$29.80 
Allison Lyon Segan,$631.50 ,8,$78.90 ,Saving Private Ryan,$216.50 
Jason Segel,$178.40 ,3,$59.50 ,The Muppets,$88.60 
JoAnne Sellar,$178.10 ,10,$17.80 ,There Will Be Blood,$40.20 
Dylan Sellers,$240.00 ,8,$30.00 ,A Cinderella Story,$51.40 
Aaron Seltzer,$92.20 ,3,$30.70 ,Epic Movie,$39.70 
Tom Shadyac,$788.30 ,7,$112.60 ,Bruce Almighty,$242.80 
Marc Shaiman,$118.90 ,1,$118.90 ,Hairspray (2007),$118.90 
Michael Shamberg,"$1,369.00 ",38,$36.00 ,Django Unchained,$162.80 
Adam Shankman,$578.50 ,11,$52.60 ,The Pacifier,$113.10 
Greg Shapiro,$239.70 ,13,$18.40 ,Zero Dark Thirty,$95.70 
Lynn Shelton,$407k,1,$407k,Humpday,$407k
Stacey Sher,"$1,224.00 ",30,$40.80 ,Django Unchained,$162.80 
M. Night Shyamalan,$973.40 ,10,$97.30 ,Signs,$228.00 
