Person,Total Gross,# Movies,Average,#1 Picture,Gross
Liam Hemsworth,"$1,792.00 ",11,$162.90 ,Catching Fire,$424.70 
Lance Henriksen,$548.40 ,24,$22.90 ,Scream 3,$89.10 
Taraji P. Henson,"$1,158.00 ",22,$52.60 ,The Karate Kid,$176.60 
Katharine Hepburn,$194.20 ,4,$48.60 ,On Golden Pond,$119.30 
Werner Herzog,$80.40 ,4,$20.10 ,Jack Reacher,$80.10 
Grant Heslov,$67.10 ,1,$67.10 ,Dante's Peak,$67.10 
Jennifer Love Hewitt,$333.60 ,12,$27.80 ,Garfield,$75.40 
Tom Hiddleston,"$2,128.10 ",16,$133.00 ,The Avengers,$623.40 
Freddie Highmore,$404.70 ,10,$40.50 ,Charlie and the Chocolate Factory,$206.50 
Jonah Hill,"$2,620.10 ",29,$90.30 ,The LEGO Movie,$257.80 
Kristofer Hivju,$304.90 ,5,$61.00 ,Fate of the Furious,$226.00 
Dustin Hoffman,"$2,522.10 ",43,$58.70 ,Meet the Fockers,$279.30 
Philip Seymour Hoffman,"$2,463.70 ",40,$61.60 ,Catching Fire,$424.70 
Boyd Holbrook,$284.30 ,5,$56.90 ,Logan,$226.30 
Tom Holland,"$1,268.60 ",8,$158.60 ,Avengers: Infinity War,$453.10 
Ian Holm,"$1,307.60 ",30,$43.60 ,Return of the King,$377.80 
Katie Holmes,$601.50 ,23,$26.20 ,Batman Begins,$206.90 
Anthony Hopkins,"$2,480.80 ",57,$43.50 ,Thor: Ragnarok,$315.10 
Cody Horn,$154.90 ,4,$38.70 ,Magic Mike,$113.70 
Thomas Horn,$31.80 ,1,$31.80 ,Extremely Loud & Incredibly Close,$31.80 
Adam Horowitz,$41.9k,1,$41.9k,Golden Exits,$41.9k
Julianne Hough,$236.70 ,5,$47.30 ,Safe Haven,$71.30 
Nicholas Hoult,$887.60 ,14,$63.40 ,X-Men: Days of Future Past,$233.90 
Djimon Hounsou,"$1,487.00 ",19,$78.30 ,Furious 7,$353.00 
Whitney Houston,$261.60 ,4,$65.40 ,Bodyguard,$122.00 
Bryce Dallas Howard,"$1,591.60 ",11,$144.70 ,Jurassic World,$652.30 
Ron Howard,$139.10 ,4,$34.80 ,American Graffiti,$115.00 
Terrence Howard,"$1,399.00 ",34,$41.10 ,Iron Man,$318.40 
Vanessa Hudgens,$287.50 ,9,$31.90 ,Journey 2,$103.90 
Kate Hudson,$828.10 ,27,$30.70 ,Kung Fu Panda 3,$143.50 
Bonnie Hunt,"$1,741.70 ",19,$91.70 ,Zootopia,$341.30 
Helen Hunt,"$1,006.60 ",21,$47.90 ,Twister,$241.70 
Holly Hunter,"$1,130.00 ",29,$39.00 ,Batman v Superman,$330.40 
Rosie Huntington-Whiteley,$506.40 ,2,$253.20 ,Transformers 3,$352.40 
William Hurt,"$1,823.30 ",32,$57.00 ,Avengers: Infinity War,$453.10 
Josh Hutcherson,"$2,115.80 ",18,$117.50 ,Catching Fire,$424.70 
Rhys Ifans,$700.20 ,28,$25.00 ,The Amazing Spider-Man,$262.00 
Dustin Ingram,$104.10 ,2,$52.00 ,Paranormal Activity 3,$104.00 
Jeremy Irons,"$1,522.80 ",29,$52.50 ,Lion King,$422.80 
Max Irons,$98.20 ,5,$19.60 ,Red Riding Hood,$37.70 
Oscar Isaac,"$2,000.80 ",19,$105.30 ,Star Wars: The Force Awakens,$936.70 
Tony Jaa,$414.60 ,8,$51.80 ,Furious 7,$353.00 
Hugh Jackman,"$2,689.30 ",27,$99.60 ,X-Men: The Last Stand,$234.40 
Brandon T. Jackson,$407.90 ,8,$51.00 ,Tropic Thunder,$110.50 
Quinton 'Rampage' Jackson,$77.30 ,3,$25.80 ,The A-Team,$77.20 
Samuel L. Jackson,"$5,149.10 ",73,$70.50 ,The Avengers,$623.40 
Kevin James,"$1,390.00 ",13,$106.90 ,Hitch,$179.50 
Theo James,$440.00 ,5,$88.00 ,Divergent,$150.90 
Thomas Jane,$208.50 ,17,$12.30 ,Deep Blue Sea,$73.60 
Allison Janney,"$1,148.00 ",21,$54.70 ,Minions,$336.00 
Famke Janssen,"$1,428.60 ",31,$46.10 ,X-Men: The Last Stand,$234.40 
Jim Jarmusch,$1.30 ,1,$1.30 ,Blue in the Face,$1.30 
Scarlett Johansson,"$4,156.50 ",42,$99.00 ,The Avengers,$623.40 
Aaron Johnson,$874.30 ,12,$72.90 ,Avengers: Age of Ultron,$459.00 
Dwayne Johnson,"$3,296.80 ",28,$117.70 ,Jumanji (2017),$404.40 
Jake Johnson,$811.10 ,9,$90.10 ,Jurassic World,$652.30 
Angelina Jolie,"$2,179.50 ",32,$68.10 ,Maleficent,$241.40 
Nick Jonas,$404.40 ,2,$202.20 ,Jumanji (2017),$404.40 
Felicity Jones,$622.70 ,14,$44.50 ,Rogue One,$532.20 
January Jones,$378.10 ,9,$42.00 ,X-Men: First Class,$146.40 
Rashida Jones,$357.90 ,11,$32.50 ,The Social Network,$97.00 
Tommy Lee Jones,"$2,699.20 ",47,$57.40 ,Men in Black,$250.70 
Michael B. Jordan,$965.90 ,6,$161.00 ,Black Panther,$693.20 
Seu Jorge,$36.10 ,7,$5.20 ,The Life Aquatic,$24.00 
Milla Jovovich,$531.00 ,25,$21.20 ,Fifth Element,$63.80 
Ashley Judd,"$1,044.20 ",28,$37.30 ,Divergent,$150.90 
Miranda July,$4.50 ,2,$2.20 ,Me and You and Everyone We Know,$3.90 
Mindy Kaling,$566.40 ,4,$141.60 ,Inside Out,$356.50 
Philip Kaufman,$163.20 ,8,$20.40 ,Rising Sun,$63.20 
Zoe Kazan,$240.10 ,16,$15.00 ,It's Complicated,$112.70 
Diane Keaton,"$1,239.20 ",37,$33.50 ,The Godfather,$135.00 
Michael Keaton,"$2,509.60 ",38,$66.00 ,Toy Story 3,$415.00 
Minka Kelly,$38.40 ,2,$19.20 ,The Roommate,$37.30 
Alex Kendrick,$78.20 ,3,$26.10 ,Courageous,$34.50 
Anna Kendrick,"$1,069.70 ",23,$46.50 ,Pitch Perfect 2,$184.30 
Irrfan Khan,"$1,221.30 ",8,$152.70 ,Jurassic World,$652.30 
Nicole Kidman,"$1,730.90 ",47,$36.80 ,Happy Feet,$198.00 
Val Kilmer,"$1,041.30 ",35,$29.80 ,Batman Forever,$184.00 
Joey King,$722.20 ,10,$72.20 ,Oz The Great and Powerful,$234.90 
Ben Kingsley,"$2,066.00 ",52,$39.70 ,Iron Man 3,$409.00 
Greg Kinnear,"$1,154.50 ",36,$32.10 ,As Good as It Gets,$148.50 
Rory Kinnear,$168.40 ,2,$84.20 ,Quantum of Solace,$168.40 
Taylor Kitsch,$606.30 ,10,$60.60 ,X-Men Origins: Wolverine,$179.90 
Chris Klein,$481.60 ,14,$34.40 ,American Pie 2,$145.10 
Kevin Kline,"$1,496.00 ",40,$37.40 ,Beauty and the Beast,$504.00 
Keira Knightley,"$1,564.70 ",25,$62.60 ,Dead Man's Chest,$423.30 
Beyonce Knowles,$613.10 ,7,$87.60 ,Goldmember,$213.30 
Johnny Knoxville,$931.20 ,16,$58.20 ,Ninja Turtles,$191.20 
Boris Kodjoe,$370.80 ,9,$41.20 ,Ferdinand,$84.40 
John Krasinski,$575.30 ,19,$30.30 ,A Quiet Place,$160.10 
Peter Krause,$155.60 ,4,$38.90 ,Truman Show,$125.60 
Lenny Kravitz,$996.90 ,4,$249.20 ,Catching Fire,$424.70 
Lisa Kudrow,$688.40 ,21,$32.80 ,The Boss Baby,$175.00 
Mila Kunis,"$1,170.50 ",18,$65.00 ,Oz The Great and Powerful,$234.90 
Olga Kurylenko,$399.20 ,13,$30.70 ,Quantum of Solace,$168.40 
Ashton Kutcher,$957.20 ,19,$50.40 ,Cheaper by the Dozen,$138.60 
Shia LaBeouf,"$2,129.40 ",22,$96.80 ,Transformers 2,$402.10 
Diane Lane,"$2,019.30 ",42,$48.10 ,Inside Out,$356.50 
Jessica Lange,$410.90 ,13,$31.60 ,Tootsie,$177.20 
Frank Langella,$679.50 ,32,$21.20 ,Superman Returns,$200.10 
Larry the Cable Guy,$617.00 ,7,$88.10 ,Cars,$244.10 
Brie Larson,$509.60 ,9,$56.60 ,Kong: Skull Island,$168.10 
Ali Larter,$552.70 ,12,$46.10 ,Legally Blonde,$96.50 
Sanaa Lathan,$488.80 ,15,$32.60 ,Alien Vs. Predator,$80.30 
Queen Latifah,"$2,049.90 ",31,$66.10 ,Ice Age 3,$196.60 
Melanie Laurent,$245.80 ,6,$41.00 ,Inglourious Basterds,$120.50 
Hugh Laurie,$890.30 ,17,$52.40 ,Monsters Vs. Aliens,$198.40 
Taylor Lautner,"$1,482.20 ",8,$185.30 ,The Twilight Saga: Eclipse,$300.50 
Jude Law,"$1,671.10 ",40,$41.80 ,Sherlock Holmes,$209.00 
Jennifer Lawrence,"$2,533.50 ",20,$126.70 ,Catching Fire,$424.70 
Martin Lawrence,"$1,291.00 ",24,$53.80 ,Wild Hogs,$168.30 
Sharon Leal,$297.30 ,7,$42.50 ,Dreamgirls,$103.40 
Matt LeBlanc,$73.60 ,3,$24.50 ,Lost in Space,$69.10 
Heath Ledger,$955.60 ,15,$63.70 ,The Dark Knight,$534.90 
Christopher Lee,"$1,666.40 ",8,$208.30 ,Revenge of the Sith,$380.30 
John Leguizamo,"$1,982.00 ",53,$37.40 ,Ice Age 3,$196.60 
Melissa Leo,$778.30 ,30,$25.90 ,The Equalizer,$101.50 
Tea Leoni,$730.20 ,13,$56.20 ,Jurassic Park III,$181.20 
Logan Lerman,$508.70 ,15,$33.90 ,Noah,$101.20 
Jared Leto,$631.10 ,12,$52.60 ,Suicide Squad,$325.10 
Tracy Letts,$138.30 ,7,$19.80 ,The Post,$81.90 
Zachary Levi,$697.00 ,5,$139.40 ,Alvin and the Chipmunks 2,$219.60 
Jet Li,$822.20 ,18,$45.70 ,Lethal Weapon 4,$130.40 
Matthew Lillard,$716.70 ,25,$28.70 ,Scooby-Doo,$153.30 
Evangeline Lilly,$779.20 ,4,$194.80 ,The Hobbit 2,$258.40 
Laura Linney,$979.30 ,37,$26.50 ,Truman Show,$125.60 
Lucy Liu,"$1,038.30 ",18,$57.70 ,Kung Fu Panda,$215.40 
Blake Lively,$485.00 ,11,$44.10 ,Green Lantern,$116.60 
Ron Livingston,$485.80 ,27,$18.00 ,The Conjuring,$137.40 
Lindsay Lohan,$492.40 ,15,$32.80 ,Freaky Friday,$110.20 
Justin Long,"$1,541.00 ",35,$44.00 ,Alvin and the Chipmunks 2,$219.60 
Nia Long,$796.50 ,22,$36.20 ,Big Momma's House,$117.60 
Jennifer Lopez,"$1,254.40 ",27,$46.50 ,Home,$177.40 
Rob Lowe,$698.50 ,25,$27.90 ,The Spy Who Shagged Me,$206.00 
Jessica Lucas,$229.30 ,5,$45.90 ,Cloverfield,$80.00 
Josh Lucas,$791.10 ,24,$33.00 ,A Beautiful Mind,$170.70 
Derek Luke,$582.80 ,17,$34.30 ,Captain America,$176.70 
Diego Luna,$887.00 ,15,$59.10 ,Rogue One,$532.20 
Kellan Lutz,"$1,482.80 ",16,$92.70 ,The Twilight Saga: Eclipse,$300.50 
David Lynch,$956k,1,$956k,Lucky (2017),$956k
Bernie Mac,$989.60 ,14,$70.70 ,Ocean's Eleven,$183.40 
Seth MacFarlane,$777.60 ,7,$111.10 ,Sing,$270.40 
Anthony Mackie,"$2,322.30 ",34,$68.30 ,Avengers: Age of Ultron,$459.00 
William H. Macy,"$1,246.20 ",39,$32.00 ,Jurassic Park III,$181.20 
Madonna,$349.30 ,14,$24.90 ,League of Their Own,$107.50 
Virginia Madsen,$476.00 ,31,$15.40 ,Sideways,$71.50 
Tobey Maguire,"$1,537.50 ",14,$109.80 ,Spider-Man,$403.70 
John Malkovich,"$1,549.60 ",50,$31.00 ,Transformers 3,$352.40 
Jena Malone,"$1,320.90 ",23,$57.40 ,Catching Fire,$424.70 
Leslie Mann,"$1,531.00 ",26,$58.90 ,Big Daddy,$163.50 
Thomas Mann,$307.40 ,7,$43.90 ,Kong: Skull Island,$168.10 
Kate Mara,$467.30 ,15,$31.20 ,The Martian,$228.40 
Rooney Mara,$485.80 ,19,$25.60 ,Girl with the Dragon Tattoo,$102.50 
Brit Marling,$17.20 ,7,$2.50 ,Arbitrage,$7.90 
James Marsden,"$1,845.30 ",33,$55.90 ,X-Men: The Last Stand,$234.40 
Garry Marshall,$67.20 ,1,$67.20 ,Race to Witch Mountain,$67.20 
Demetri Martin,$17.60 ,4,$4.40 ,Taking Woodstock,$7.50 
Steve Martin,"$1,786.00 ",37,$48.30 ,Home,$177.40 
Peter Mayhew,"$1,997.40 ",4,$499.40 ,Star Wars: The Force Awakens,$936.70 
Rachel McAdams,"$1,693.90 ",26,$65.20 ,Doctor Strange,$232.60 
Callan McAuliffe,$56.90 ,3,$19.00 ,I Am Number Four,$55.10 
James McAvoy,"$1,464.90 ",24,$61.00 ,The Chronicles of Narnia,$291.70 
Danny McBride,$809.70 ,18,$45.00 ,Tropic Thunder,$110.50 
Melissa McCarthy,"$1,111.60 ",13,$85.50 ,Bridesmaids,$169.10 
Matthew McConaughey,"$1,926.00 ",38,$50.70 ,Sing,$270.40 
Ian McDiarmid,"$1,474.80 ",4,$368.70 ,The Phantom Menace,$474.50 
Frances McDormand,"$1,444.40 ",37,$39.00 ,Transformers 3,$352.40 
Ewan McGregor,"$2,593.60 ",48,$54.00 ,Beauty and the Beast,$504.00 
Ian McKellen,"$3,654.40 ",32,$114.20 ,Beauty and the Beast,$504.00 
Katherine McPhee,$67.10 ,2,$33.60 ,The House Bunny,$48.20 
Leighton Meester,$264.00 ,10,$26.40 ,Date Night,$98.70 
Carlos Mencia,$57.00 ,2,$28.50 ,The Heartbreak Kid,$36.80 
Eva Mendes,$873.40 ,19,$46.00 ,Hitch,$179.50 
Scott Mescudi,$43.70 ,3,$14.60 ,Need for Speed,$43.60 
Chris Messina,$221.20 ,18,$12.30 ,Julie & Julia,$94.10 
Breckin Meyer,$433.60 ,12,$36.10 ,Garfield,$75.40 
Jonathan Rhys Meyers,$335.90 ,17,$19.80 ,Mission: Impossible III,$134.00 
Alyson Michalka,$100.90 ,3,$33.60 ,Easy A,$58.40 
Bette Midler,$754.60 ,21,$35.90 ,First Wives Club,$105.50 
Mads Mikkelsen,"$1,171.80 ",15,$78.10 ,Rogue One,$532.20 
Ezra Miller,$600.20 ,11,$54.60 ,Fantastic Beasts and Where To Find Them,$234.00 
Nicki Minaj,$137.90 ,2,$69.00 ,The Other Woman,$83.90 
Christopher Mintz-Plasse,"$1,118.90 ",13,$86.10 ,How to Train Your Dragon,$217.60 
Helen Mirren,"$1,574.90 ",48,$32.80 ,Monsters University,$268.50 
John Cameron Mitchell,$9.30 ,3,$3.10 ,Band of the Hand,$4.90 
Radha Mitchell,$600.10 ,24,$25.00 ,Olympus Has Fallen,$98.90 
Alfred Molina,"$1,173.70 ",41,$28.60 ,Spider-Man 2,$373.60 
Jason Momoa,$260.00 ,5,$52.00 ,Justice League,$229.00 
Michelle Monaghan,$719.30 ,19,$37.90 ,Mission: Impossible III,$134.00 
Demi Moore,"$1,025.30 ",32,$32.00 ,Ghost,$217.60 
Joel David Moore,$915.10 ,14,$65.40 ,Avatar,$760.50 
Julianne Moore,"$2,080.30 ",58,$35.90 ,Mockingjay Part 1,$337.10 
Mandy Moore,$465.80 ,13,$35.80 ,Tangled,$200.80 
Michael Moore,$149k,1,$149k,Michael Moore In TrumpLand,$149k
Roger Moore,$587.80 ,15,$39.20 ,The Cannonball Run,$72.20 
Chloe Moretz,$786.70 ,20,$39.30 ,The Equalizer,$101.50 
Jeffrey Dean Morgan,$289.60 ,14,$20.70 ,Watchmen,$107.50 
Tracy Morgan,$529.10 ,14,$37.80 ,Rio 2,$131.50 
Viggo Mortensen,"$1,530.30 ",29,$52.80 ,Return of the King,$377.80 
Carrie-Anne Moss,$872.50 ,17,$51.30 ,The Matrix Reloaded,$281.60 
Elisabeth Moss,$134.60 ,17,$7.90 ,Get Him to the Greek,$61.00 
Bridget Moynahan,$696.60 ,13,$53.60 ,"I, Robot",$144.80 
Carey Mulligan,$320.00 ,11,$29.10 ,The Great Gatsby,$144.80 
Frankie Muniz,$233.00 ,7,$33.30 ,Racing Stripes,$49.80 
Brittany Murphy,$706.90 ,16,$44.20 ,Happy Feet,$198.00 
Cillian Murphy,$902.50 ,19,$47.50 ,Inception,$292.60 
Eddie Murphy,"$3,811.10 ",39,$97.70 ,Shrek 2,$441.20 
Bill Murray,"$2,082.90 ",44,$47.30 ,The Jungle Book,$364.00 
Mike Myers,"$2,211.40 ",15,$147.40 ,Shrek 2,$441.20 
Kumail Nanjiani,$536.70 ,13,$41.30 ,Central Intelligence,$127.40 
Naturi Naughton,$47.20 ,2,$23.60 ,Lottery Ticket,$24.70 
Liam Neeson,"$2,990.80 ",67,$44.60 ,The Phantom Menace,$474.50 
Craig T. Nelson,"$1,122.10 ",21,$53.40 ,The Incredibles,$261.40 
Paul Newman,"$1,082.00 ",20,$54.10 ,Cars,$244.10 
Thandie Newton,$904.00 ,23,$39.30 ,Mission: Impossible II,$215.40 
Mike Nichols,$215k,1,$215k,The Designated Mourner,$215k
Jack Nicholson,"$1,795.50 ",34,$52.80 ,Batman,$251.20 
Leslie Nielsen,$617.90 ,19,$32.50 ,Scary Movie 3,$110.00 
Leonard Nimoy,$820.30 ,11,$74.60 ,Star Trek,$257.70 
Chuck Norris,$279.70 ,17,$16.50 ,The Expendables 2,$85.00 
Dean Norris,$110.90 ,8,$13.90 ,Death Wish (2018),$34.00 
Edward Norton,"$1,100.20 ",26,$42.30 ,The Incredible Hulk,$134.80 
Lupita Nyong'o,"$2,771.80 ",7,$396.00 ,Star Wars: The Force Awakens,$936.70 
Michael Nyqvist,$303.60 ,9,$33.70 ,Mission: Impossible 4,$209.40 
Jack O'Connell,$269.20 ,9,$29.90 ,Unbroken,$115.60 
Chris O'Donnell,$779.30 ,19,$41.00 ,Batman Forever,$184.00 
Jason O'Mara,$77.30 ,3,$25.80 ,Resident Evil: Extinction,$50.60 
Sophie Okonedo,$103.50 ,7,$14.80 ,The Secret Life of Bees,$37.80 
Gary Oldman,"$3,433.80 ",41,$83.80 ,The Dark Knight,$534.90 
Elizabeth Olsen,"$1,579.70 ",16,$98.70 ,Avengers: Age of Ultron,$459.00 
Mary-Kate Olsen,$63.50 ,4,$15.90 ,Beastly,$27.90 
Timothy Olyphant,$696.00 ,22,$31.60 ,Live Free or Die Hard,$134.50 
Clive Owen,$547.70 ,26,$21.10 ,Inside Man,$88.50 
David Oyelowo,$617.40 ,16,$38.60 ,Rise of the Planet of the Apes,$176.80 
Al Pacino,"$1,457.30 ",39,$37.40 ,The Godfather,$135.00 
Ellen Page,$730.90 ,17,$43.00 ,Inception,$292.60 
Adrianne Palicki,$210.40 ,4,$52.60 ,G.I. Joe: Retaliation,$122.50 
Teresa Palmer,$536.10 ,17,$31.50 ,Bedtime Stories,$110.10 
Gwyneth Paltrow,"$2,287.10 ",34,$67.30 ,Avengers: Infinity War,$453.10 
Hayden Panettiere,$338.40 ,12,$28.20 ,Remember the Titans,$115.70 
Anna Paquin,$997.60 ,19,$52.50 ,X-Men: The Last Stand,$234.40 
Sarah Jessica Parker,$990.60 ,28,$35.40 ,Sex and the City,$152.60 
Trey Parker,$264.60 ,1,$264.60 ,Despicable Me 3,$264.60 
Dev Patel,$439.80 ,8,$55.00 ,Slumdog Millionaire,$141.30 
Robert Pattinson,"$1,744.80 ",15,$116.30 ,The Twilight Saga: Eclipse,$300.50 
Paula Patton,$630.40 ,14,$45.00 ,Mission: Impossible 4,$209.40 
Sarah Paulson,$297.90 ,13,$22.90 ,The Post,$81.90 
Bill Paxton,"$1,550.60 ",18,$86.10 ,Titanic,$659.40 
Guy Pearce,"$1,212.50 ",33,$36.70 ,Iron Man 3,$409.00 
Jordan Peele,$167.20 ,3,$55.70 ,Captain Underpants,$73.90 
Amanda Peet,$882.00 ,26,$33.90 ,2012,$166.10 
Simon Pegg,"$2,753.20 ",22,$125.10 ,Star Wars: The Force Awakens,$936.70 
Kal Penn,$415.20 ,13,$31.90 ,Superman Returns,$200.10 
Sean Penn,$867.60 ,39,$22.20 ,Angry Birds,$107.50 
Piper Perabo,$581.20 ,16,$36.30 ,Cheaper by the Dozen,$138.60 
Ron Perlman,$942.00 ,23,$41.00 ,Fantastic Beasts and Where To Find Them,$234.00 
Alex Ross Perry,$28.2k,1,$28.2k,7 Chinese Brothers,$28.2k
Matthew Perry,$200.90 ,7,$28.70 ,17 Again,$64.20 
Tyler Perry,"$1,110.10 ",19,$58.40 ,Gone Girl,$167.80 
Alex Pettyfer,$259.40 ,7,$37.10 ,Magic Mike,$113.70 
Michelle Pfeiffer,"$1,551.80 ",39,$39.80 ,Batman Returns,$162.80 
Ryan Phillippe,$414.70 ,17,$24.40 ,I Know What You Did Last Summer,$72.60 
Joaquin Phoenix,"$1,015.40 ",28,$36.30 ,Signs,$228.00 
Rosamund Pike,$744.60 ,22,$33.80 ,Gone Girl,$167.80 
Chris Pine,"$1,845.90 ",21,$87.90 ,Wonder Woman,$412.60 
Jada Pinkett-Smith,"$1,927.80 ",24,$80.30 ,The Matrix Reloaded,$281.60 
Freida Pinto,$406.20 ,8,$50.80 ,Rise of the Planet of the Apes,$176.80 
Brad Pitt,"$2,721.10 ",42,$64.80 ,World War Z,$202.40 
Aubrey Plaza,$178.50 ,13,$13.70 ,Funny People,$51.90 
Jesse Plemons,$550.90 ,15,$36.70 ,The Post,$81.90 
Christopher Plummer,"$1,389.10 ",34,$40.90 ,National Treasure,$173.00 
Sydney Pollack,$533.30 ,10,$53.30 ,Tootsie,$177.20 
Sarah Polley,$116.20 ,19,$6.10 ,Dawn of the Dead,$59.00 
Imogen Poots,$136.60 ,17,$8.00 ,Need for Speed,$43.60 
Natalie Portman,"$2,110.30 ",31,$68.10 ,The Phantom Menace,$474.50 
Parker Posey,$599.70 ,34,$17.60 ,Superman Returns,$200.10 
Franka Potente,$360.00 ,9,$40.00 ,The Bourne Supremacy,$176.20 
Bel Powley,$1.80 ,5,$352k,The Diary of a Teenage Girl,$1.50 
Chris Pratt,"$2,536.30 ",16,$158.50 ,Jurassic World,$652.30 
"Freddie Prinze, Jr.",$518.70 ,16,$32.40 ,Scooby-Doo,$153.30 
Jonathan Pryce,"$1,573.20 ",33,$47.70 ,Dead Man's Chest,$423.30 
James Purefoy,$187.90 ,6,$31.30 ,John Carter,$73.10 
Dennis Quaid,"$1,833.80 ",57,$32.20 ,The Day After Tomorrow,$186.70 
Randy Quaid,$948.70 ,38,$25.00 ,Independence Day,$306.20 
Daniel Radcliffe,"$2,634.40 ",17,$155.00 ,Harry Potter / Deathly Hallows (P2),$381.00 
Josh Radnor,$718k,3,$239k,Liberal Arts,$327k
Edgar Ramirez,$620.30 ,11,$56.40 ,The Bourne Ultimatum,$227.50 
Harold Ramis,$11.60 ,1,$11.60 ,The Last Kiss (2006),$11.60 
Noomi Rapace,$359.20 ,9,$39.90 ,Sherlock Holmes 2,$186.80 
Emily Ratajkowski,$41.50 ,2,$20.80 ,I Feel Pretty,$37.90 
Jackson Rathbone,"$1,307.30 ",6,$217.90 ,The Twilight Saga: Eclipse,$300.50 
Max Records,$107.70 ,2,$53.80 ,Where the Wild Things Are,$77.20 
Lance Reddick,$120.60 ,6,$20.10 ,Don't Say a Word,$55.00 
Robert Redford,"$1,643.40 ",31,$53.00 ,Captain America 2,$259.80 
Eddie Redmayne,$527.30 ,10,$52.70 ,Fantastic Beasts and Where To Find Them,$234.00 
Crystal Reed,$21.50 ,2,$10.70 ,Skyline,$21.40 
Christopher Reeve,$427.60 ,15,$28.50 ,Superman,$134.20 
Keanu Reeves,"$1,959.40 ",46,$42.60 ,The Matrix Reloaded,$281.60 
John C. Reilly,"$1,980.80 ",37,$53.50 ,Guardians of the Galaxy,$333.20 
Rob Reiner,$116.90 ,1,$116.90 ,The Wolf of Wall Street,$116.90 
Jeremy Renner,"$2,634.70 ",23,$114.60 ,The Avengers,$623.40 
Ryan Reynolds,"$1,752.20 ",33,$53.10 ,Deadpool,$363.10 
Giovanni Ribisi,"$1,928.40 ",32,$60.30 ,Avatar,$760.50 
Christina Ricci,$743.70 ,35,$21.20 ,Addams Family,$113.50 
Denise Richards,$365.60 ,12,$30.50 ,World Is Not Enough,$126.90 
Alan Rickman,"$1,783.40 ",27,$66.10 ,Harry Potter / Deathly Hallows (P2),$381.00 
Daisy Ridley,"$1,774.50 ",4,$443.60 ,Star Wars: The Force Awakens,$936.70 
Rob Riggle,$916.40 ,14,$65.50 ,The Lorax,$214.00 
Noah Ringer,$131.80 ,1,$131.80 ,The Last Airbender,$131.80 
AnnaSophia Robb,$272.80 ,9,$30.30 ,Bridge to Terabithia,$82.30 
Margot Robbie,$807.60 ,10,$80.80 ,Suicide Squad,$325.10 
Tim Robbins,$890.50 ,38,$23.40 ,War of the Worlds,$234.30 
Emma Roberts,$467.20 ,17,$27.50 ,We're the Millers,$150.40 
Julia Roberts,"$2,912.80 ",44,$66.20 ,Ocean's Eleven,$183.40 
Chris Rock,"$1,603.00 ",23,$69.70 ,Madagascar 3,$216.40 
Sam Rockwell,"$1,108.80 ",35,$31.70 ,Iron Man 2,$312.40 
Gina Rodriguez,$242.70 ,7,$34.70 ,Ferdinand,$84.40 
Michelle Rodriguez,"$2,368.20 ",19,$124.60 ,Avatar,$760.50 
Seth Rogen,"$2,229.50 ",26,$85.70 ,Kung Fu Panda,$215.40 
Elisabeth Rohm,$56.50 ,1,$56.50 ,Joy,$56.50 
Rebecca Romijn,$680.40 ,8,$85.10 ,X-Men: The Last Stand,$234.40 
Saoirse Ronan,$319.30 ,14,$22.80 ,The Grand Budapest Hotel,$59.30 
Michael Rooker,"$1,439.40 ",32,$45.00 ,Guardians of the Galaxy 2,$389.80 
Emmy Rossum,$331.20 ,12,$27.60 ,The Day After Tomorrow,$186.70 
Eli Roth,$58.5k,1,$58.5k,Aftershock,$58.5k
Mickey Rourke,$842.30 ,36,$23.40 ,Iron Man 2,$312.40 
Brandon Routh,$203.10 ,3,$67.70 ,Superman Returns,$200.10 
Gena Rowlands,$358.20 ,21,$17.10 ,The Notebook,$81.00 
Paul Rudd,"$1,829.70 ",33,$55.40 ,Captain America 3,$408.10 
Mark Ruffalo,"$2,680.70 ",36,$74.50 ,The Avengers,$623.40 
Geoffrey Rush,"$1,714.70 ",31,$55.30 ,Pirates of the Caribbean 3,$309.40 
Alex Russell,$180.20 ,4,$45.10 ,Unbroken,$115.60 
Kurt Russell,"$2,208.40 ",37,$59.70 ,Guardians of the Galaxy 2,$389.80 
Rene Russo,"$1,530.00 ",23,$66.50 ,Thor: The Dark World,$206.40 
Amy Ryan,$511.70 ,21,$24.40 ,Central Intelligence,$127.40 
Meg Ryan,"$1,151.70 ",29,$39.70 ,Top Gun,$179.80 
Winona Ryder,$916.60 ,36,$25.50 ,Mr. Deeds,$126.30 
Mark Rylance,$492.90 ,7,$70.40 ,Dunkirk,$190.10 
Katee Sackhoff,$100.10 ,3,$33.40 ,Riddick,$42.00 
Zoe Saldana,"$3,092.90 ",29,$106.70 ,Avatar,$760.50 
Carlos Saldanha,$84.40 ,1,$84.40 ,Ferdinand,$84.40 
Andy Samberg,$698.20 ,12,$58.20 ,Hotel Transylvania 2,$169.70 
Adam Sandler,"$2,661.00 ",32,$83.20 ,Hotel Transylvania 2,$169.70 
Rodrigo Santoro,$584.00 ,9,$64.90 ,300,$210.60 
Susan Sarandon,"$1,498.60 ",63,$23.80 ,Enchanted,$127.80 
Peter Sarsgaard,$711.90 ,27,$26.40 ,Green Lantern,$116.60 
Akiva Schaffer,$9.60 ,1,$9.60 ,Popstar,$9.60 
